City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,hlybokaye,55.1382,27.6879,-0.12,99,100,1.87,BY,1707073508
145,broken hill,-31.95,141.4333,24.15,70,100,11.0,AU,1707072933
146,howrah,22.5892,88.3103,18.0,77,4,0.0,IN,1707073079
147,yekaterinoslavka,50.3734,129.1139,-29.12,100,65,0.97,RU,1707073509
148,kapa'a,22.0752,-159.319,21.24,69,100,10.29,US,1707072834
149,yangquan,37.8575,113.5633,-5.3,84,29,0.94,CN,1707073509
150,luanda,-8.8368,13.2343,28.0,78,75,3.09,AO,1707073423
151,uturoa,-16.7333,-151.4333,27.03,85,100,6.93,PF,1707072992
152,atafu village,-8.5421,-172.5159,28.65,79,100,9.91,TK,1707073041
153,mpongwe,-13.5091,28.155,20.51,88,97,1.68,ZM,1707073352
154,lebu,-37.6167,-73.65,18.71,65,0,5.36,CL,1707072997
155,naze,28.3667,129.4833,20.51,89,100,9.53,JP,1707073510
156,wilmington island,32.0036,-80.9737,12.79,83,40,8.75,US,1707073510
157,north bath,43.9348,-69.8159,1.64,37,0,3.13,US,1707073510
158,margate,51.3813,1.3862,12.2,75,100,4.47,GB,1707073310
159,qaqortoq,60.7167,-46.0333,-19.92,70,0,2.07,GL,1707072997
160,kitimat,54.0524,-128.6534,-0.67,79,12,1.34,CA,1707073367
161,vadso,70.0744,29.7487,-2.91,74,75,7.2,NO,1707073304
162,rabo de peixe,37.8,-25.5833,17.77,99,20,6.69,PT,1707073511
163,ironwood,46.4547,-90.171,4.62,56,0,0.0,US,1707073472
164,songjianghe,42.1859,127.479,-17.7,92,100,1.44,CN,1707073511
165,brookings,44.3114,-96.7984,1.0,100,100,3.6,US,1707073047
166,vilyuysk,63.7553,121.6247,-37.22,100,40,0.89,RU,1707073003
167,poso,-1.3959,120.7524,24.88,89,100,1.57,ID,1707073512
168,mil'kovo,55.6078,37.7956,-0.47,96,100,5.24,RU,1707073512
169,serhiyivka,46.0272,30.3768,7.08,80,100,3.49,UA,1707073512
170,pisco,-13.7,-76.2167,27.03,65,0,5.14,PE,1707073074
171,rengasdengklok,-6.1592,107.2981,26.29,83,100,1.82,ID,1707073512
172,sarkand,45.41,79.9186,-7.17,70,79,3.19,KZ,1707073512
173,aasiaat,68.7098,-52.8699,-31.66,89,10,1.8,GL,1707072990
174,jamestown,42.097,-79.2353,6.6,42,0,2.06,US,1707073304
175,luderitz,-26.6481,15.1594,19.78,83,4,4.16,NA,1707073026
176,zabaykal'sk,49.6333,117.3167,-23.92,96,100,1.34,RU,1707073514
177,huron,41.1501,-82.5499,6.78,69,0,4.26,US,1707073514
178,ratnagiri,16.9833,73.3,24.43,67,0,1.96,IN,1707073514
179,saldanha,-33.0117,17.9442,23.03,84,100,2.77,ZA,1707072974
180,bridlington,54.0831,-0.1919,12.6,83,100,6.26,GB,1707073514
181,college,64.8569,-147.8028,-28.11,72,75,0.0,US,1707072973
182,siemiatycze,52.4272,22.8623,4.83,83,100,10.72,PL,1707073515
183,zaysan,47.4667,84.8667,-13.96,78,92,1.67,KZ,1707073515
184,bonab,37.3404,46.0561,1.25,86,100,1.03,IR,1707073515
185,polyarnyy,69.1989,33.4478,-11.53,84,100,7.03,RU,1707073312
186,touros,-5.1989,-35.4608,29.45,64,5,7.49,BR,1707073307
187,hithadhoo,-0.6,73.0833,28.47,76,99,5.74,MV,1707072984
188,winslow,35.0242,-110.6974,7.1,45,75,1.54,US,1707073363
189,klyuchi,52.2667,79.1667,-4.42,89,100,5.39,RU,1707073027
190,saipan,15.1355,145.701,26.39,69,75,9.26,MP,1707072985
191,bansi,27.1833,82.9333,11.92,81,97,2.4,IN,1707073516
192,nova sintra,14.8667,-24.7167,21.52,69,0,3.85,CV,1707072979
193,sarospatak,48.3167,21.5833,6.69,77,100,5.8,HU,1707073517
194,alice springs,-23.7,133.8833,28.45,39,17,3.09,AU,1707073016
195,coxim,-18.5067,-54.76,28.38,47,98,2.3,BR,1707073517
196,wau,7.7029,27.9953,27.08,22,85,2.22,SS,1707073517
197,langsa,4.4683,97.9683,23.96,92,100,1.57,ID,1707073013
198,lushun,38.8,121.2667,-4.88,85,100,6.24,CN,1707073517
199,al fallujah,33.3538,43.7795,10.94,47,38,4.18,IQ,1707073517
200,dudinka,69.4058,86.1778,-17.99,96,98,3.98,RU,1707072996
201,ambovombe,-25.1667,46.0833,23.19,92,100,1.66,MG,1707073308
202,okha,53.5739,142.9478,-22.6,94,15,5.9,RU,1707073518
203,castillos,-34.1667,-53.8333,23.87,53,14,5.45,UY,1707073028
204,fuerte olimpo,-21.0415,-57.8738,36.25,30,96,2.76,PY,1707073518
205,stephenville,32.2207,-98.2023,13.59,69,100,8.23,US,1707073250
206,dryden,49.7833,-92.7503,0.16,100,100,2.06,CA,1707073072
207,vila franca do campo,37.7167,-25.4333,18.27,99,5,3.3,PT,1707072997
208,tasqala,51.1167,50.3167,0.96,99,100,8.18,KZ,1707073518
209,kiruhura,-2.4773,29.7679,16.4,91,100,1.24,RW,1707073519
210,thunder bay,48.4001,-89.3168,0.95,86,0,2.57,CA,1707072764
211,haimen,23.1935,116.6142,17.94,92,17,1.96,CN,1707073519
212,roxas,11.5853,122.7511,23.97,89,39,4.8,PH,1707073519
213,meadow lakes,61.6247,-149.6011,-13.6,86,100,0.0,US,1707073008
214,la'ie,21.6477,-157.9253,22.47,67,81,7.6,US,1707073093
215,princeville,45.7668,-61.2985,-0.9,96,100,8.75,CA,1707073403
216,coquimbo,-29.9533,-71.3436,22.85,64,75,4.63,CL,1707073226
217,kijang,35.2442,129.2139,5.85,90,100,11.91,KR,1707073519
218,bandarbeyla,9.4942,50.8122,26.18,66,62,7.18,SO,1707073520
219,dig,27.4667,77.3333,16.59,96,98,3.01,IN,1707073520
220,bardai,11.65,7.2333,21.54,15,100,4.69,NG,1707073034
221,sucre,-19.0333,-65.2627,18.66,43,85,9.6,BO,1707073520
222,port alfred,-33.5906,26.891,22.88,95,100,1.34,ZA,1707072769
223,yarmouth,41.7057,-70.2286,1.0,62,0,9.39,US,1707073020
224,salalah,17.0151,54.0924,23.72,43,0,2.13,OM,1707073521
225,ust-tsilma,65.441,52.1498,-17.99,91,16,3.13,RU,1707073521
226,soc trang,9.6033,105.98,23.62,91,49,1.1,VN,1707073521
227,iskateley,67.6803,53.1512,-19.43,91,85,3.13,RU,1707073285
228,puerto baquerizo moreno,-0.9,-89.6,27.55,83,100,4.12,EC,1707073283
229,warrnambool,-38.3833,142.4833,16.53,84,100,7.41,AU,1707073374
230,berezovyy,51.6667,135.7,-22.74,95,5,1.46,RU,1707073310
231,mount gambier,-37.8333,140.7667,15.06,71,98,4.14,AU,1707073003
232,novyy urgal,51.0736,132.5642,-32.3,100,98,0.62,RU,1707073522
233,hilo,19.7297,-155.09,20.62,86,99,0.45,US,1707073263
234,yokadouma,3.5167,15.05,25.49,27,13,1.26,CM,1707073522
235,tatsinskiy,48.1968,41.2756,1.94,95,100,5.82,RU,1707073522
236,qamdo,31.1667,97.2333,-5.37,41,100,2.26,CN,1707073523
237,newman,37.3138,-121.0208,11.06,91,100,6.26,US,1707073523
238,pyhajarvi,67.0701,27.2176,-7.25,92,100,5.06,FI,1707073523
239,kzyltu,53.6364,72.3414,-5.28,84,100,8.61,KZ,1707073523
240,peace river,56.2501,-117.286,-6.83,73,20,2.57,CA,1707073523
241,kruisfontein,-34.0033,24.7314,22.16,77,93,1.26,ZA,1707073094
242,deqen,29.9618,90.7188,0.14,24,58,10.24,CN,1707073034
243,markovo,57.3206,107.0881,-17.29,99,100,1.5,RU,1707073316
244,cabo san lucas,22.8909,-109.9124,24.49,56,0,2.24,MX,1707073053
245,undurkhaan,47.3194,110.6556,-19.53,92,100,0.48,MN,1707073524
246,kiunga,-6.1219,141.2906,23.14,100,86,0.96,PG,1707073052
247,santa ana,33.7456,-117.8678,15.2,67,75,5.14,US,1707073235
248,betio village,1.358,172.9211,28.02,79,92,6.31,KI,1707073016
249,tateyama,34.9833,139.8667,6.17,77,100,5.2,JP,1707073370
250,galliano,29.4422,-90.2992,19.49,50,1,6.22,US,1707073074
251,sechura,-5.5569,-80.8222,29.57,58,100,6.76,PE,1707073353
252,taro,-8.3862,115.28,23.81,95,100,1.28,ID,1707073524
253,weno,7.4515,151.8468,26.97,94,100,4.12,FM,1707072985
254,lapinlahti,65.5833,30.5667,-8.72,94,100,4.69,RU,1707073525
255,nasiriyah,31.0521,46.261,14.52,35,0,2.44,IQ,1707073525
256,as sulayyil,20.4607,45.5779,18.14,29,15,5.32,SA,1707073312
257,sidi amrane,33.4989,6.008,14.97,34,0,3.65,DZ,1707073525
258,saint-denis,48.9167,2.3333,9.21,92,100,5.66,FR,1707073525
259,antofagasta,-23.65,-70.4,27.6,66,7,2.93,CL,1707073021
260,broome,42.2506,-75.833,4.89,52,3,0.45,US,1707073282
261,zwedru,6.0667,-8.1281,29.35,26,100,1.0,LR,1707073526
262,dili,-8.5586,125.5736,27.21,82,52,0.29,TL,1707073526
263,afaahiti,-17.75,-149.2833,26.93,86,100,6.66,PF,1707072970
264,concepcion,-36.827,-73.0498,21.89,49,0,8.23,CL,1707073011
265,utrik,11.2278,169.8474,25.93,72,39,7.12,MH,1707072981
266,ambon,-3.6954,128.1814,27.27,14,40,0.51,ID,1707073075
267,narvik,68.4384,17.4272,-4.3,97,100,2.51,NO,1707073526
268,clover,35.1113,-81.2265,11.18,44,0,3.09,US,1707073527
269,tra vinh,9.9347,106.3453,23.12,95,23,1.32,VN,1707073527
270,bodo,67.28,14.405,1.01,62,20,6.17,NO,1707073527
271,al majaridah,19.1236,41.9111,22.69,78,94,1.74,SA,1707073527
272,caleta de carquin,-11.0925,-77.6267,26.58,71,94,3.94,PE,1707073085
273,hadibu,12.65,54.0333,25.38,73,22,5.11,YE,1707073056
274,iwanai,42.9744,140.5089,-6.44,87,100,1.15,JP,1707073527
275,pechora,65.1472,57.2244,-25.64,99,66,0.89,RU,1707073527
276,barra do bugres,-15.0725,-57.1811,26.64,78,100,1.88,BR,1707073528
277,craig,40.5153,-107.5464,-1.06,74,0,2.57,US,1707073501
278,tregunc,47.85,-3.85,9.59,83,97,2.51,FR,1707073528
279,teknaf,20.8624,92.3058,17.69,70,5,3.68,BD,1707073528
280,lauro de freitas,-12.8944,-38.3272,30.01,70,40,4.63,BR,1707073409
281,portland,45.5234,-122.6762,7.1,81,75,1.54,US,1707072901
282,san patricio,28.017,-97.5169,23.0,35,0,11.18,US,1707072971
283,tralee,52.2704,-9.7026,10.43,90,95,5.24,IE,1707073309
284,san julian,21.0167,-102.1667,20.54,10,0,3.28,MX,1707073528
285,solnechnyy,50.7214,136.6319,-27.21,98,23,1.58,RU,1707073095
286,emerald,-23.5333,148.1667,21.3,87,100,3.61,AU,1707073318
287,port macquarie,-31.4333,152.9167,22.72,88,97,6.55,AU,1707073032
288,eyl,7.9803,49.8164,25.3,71,33,7.41,SO,1707073031
289,juan griego,11.0817,-63.9655,33.07,40,52,4.63,VE,1707073080
290,tura,25.5198,90.2201,13.5,44,67,1.4,IN,1707073023
291,belyy yar,53.6039,91.3903,-19.06,92,99,0.0,RU,1707073529
292,lae,-6.7221,146.9847,25.78,83,99,3.12,PG,1707073529
293,itoman,26.1247,127.6694,23.02,88,75,8.75,JP,1707073307
294,san pedro pochutla,15.7333,-96.4667,32.84,32,10,4.84,MX,1707073529
295,ciudad lazaro cardenas,17.9583,-102.2,27.17,56,0,5.09,MX,1707073311
296,forster,-32.1667,152.5167,24.6,90,98,4.37,AU,1707073530
297,yuzhno-kurilsk,44.0306,145.8556,-4.24,71,58,8.33,RU,1707072995
298,carlsbad,33.1581,-117.3506,17.29,64,20,5.14,US,1707073530
299,yanbu,24.0891,38.0637,20.02,60,0,7.2,SA,1707073530
300,neuenburg am rhein,47.8143,7.5601,6.66,86,65,3.13,DE,1707073530
301,sainyabuli,19.25,101.75,15.09,45,0,0.78,LA,1707073530
302,khowy,38.5503,44.9521,-0.36,68,62,1.53,IR,1707073530
303,mili,6.0815,171.735,27.64,76,100,8.61,MH,1707073398
304,kavieng,-2.5744,150.7967,28.47,78,96,3.45,PG,1707073076
305,hopkinton,41.4612,-71.7776,4.79,34,0,3.54,US,1707073314
306,gaigeturi,33.4644,126.3183,11.03,87,100,11.32,KR,1707073531
307,novaya igirma,57.1334,103.9112,-21.67,100,95,1.93,RU,1707073081
308,hawaiian paradise park,19.5933,-154.9731,20.34,85,75,1.54,US,1707072992
309,hohhot,40.8106,111.6522,-4.84,93,40,1.0,CN,1707073531
310,pokrovsk,48.282,37.1758,2.72,93,100,5.28,UA,1707073531
311,charlottetown,46.2352,-63.1267,-2.94,95,100,13.38,CA,1707073531
312,greencastle,39.6445,-86.8647,11.15,44,0,5.14,US,1707073198
313,chibougamau,49.9168,-74.3659,-7.21,93,0,0.0,CA,1707073352
314,new norfolk,-42.7826,147.0587,13.06,97,45,0.74,AU,1707072846
315,talnakh,69.4865,88.3972,-18.22,97,100,2.87,RU,1707072730
316,taboshar,40.5686,69.6413,-3.82,69,100,2.88,TJ,1707073532
317,marondera,-18.1853,31.5519,19.32,64,100,1.69,ZW,1707073532
318,antonio enes,-16.2325,39.9086,27.06,83,87,1.89,MZ,1707073359
319,vyazemskiy,47.5378,134.7525,-24.38,99,22,1.43,RU,1707073532
320,moranbah,-22.0016,148.0466,23.27,77,100,3.26,AU,1707073070
321,labrador city,52.9463,-66.9114,-10.05,57,75,2.06,CA,1707073532
